3,-106,2,919,-30,200,200,323,377,269,285,361,20
298,-77,-705,-659,-348,-66,2,1076,-30,200,200,323,377,269,304,343,17
299,-77,-740,-694,-387,-39,2,1166,-30,200,200,323,377,269,268,359,17
301,-77,-764,-718,-268,144,2,1374,-30,200,200,323,377,269,285,350,17
302,-76,-762,-716,-335,-67,2,1458,-30,200,200,323,377,269,316,368,18
303,-75,-755,-709,-383,-47,2,1499,-30,200,200,323,377,269,290,345,19
304,-74,-747,-701,-420,-38,2,1570,-30,200,200,323,377,269,262,356,20
306,-71,-718,-672,-298,161,2,1611,-30,168,168,323,377,269,313,346,23
307,-69,-703,-657,-194,104,2,1622,-30,156,156,323,377,269,282,354,25
308,-67,-685,-639,-325,-132,2,1616,-30,148,148,323,377,269,280,364,27
309,-65,-666,-620,-380,-54,2,1614,-30,140,140,323,377,269,298,336,29
310,-65,-657,-611,-460,-81,2,1680,-30,124,124,323,377,269,319,357,29
312,-61,-620,-574,-306,165,2,1714,-30,98,98,323,377,269,308,342,33
313,-60,-609,-563,-199,107,2,1726,-30,83,83,323,377,269,292,350,34
314,-57,-588,-542,-378,-179,2,1759,-30,68,68,323,377,269,290,361,37
315,-55,-567,-521,-505,-127,2,1754,-30,56,56,323,377,269,320,332,39
316,-49,-526,-480,-520,-16,2,1800,-30,42,42,323,365,281,371,351,45
318,-46,-474,-428,-347,187,2,1869,-30,-1,-1,323,349,297,284,342,48
319,-43,-450,-404,-226,122,2,1830,-30,-18,-18,323,343,303,277,351,51
320,-39,-418,-372,-360,-134,2,1723,-30,-27,-27,323,339,307,272,357,55
321,-36,-387,-341,-465,-105,2,1523,-30,-27,-27,323,335,311,276,326,58
323,-35,-358,-312,-351,189,2,1050,-30,-1,-1,323,330,316,285,334,59
324,-35,-354,-308,-228,123,2,820,-30,21,21,323,329,317,301,311,59
325,-38,-368,-322,-383,-155,2,633,-30,51,51,323,328,318,308,322,56
326,-42,-396,-350,-557,-174,2,509,-30,88,88,323,336,310,308,335,52
327,9,-134,-88,-309,247,2,432,-30,28,28,323,333,313,300,317,103
329,-48,-407,-361,-326,176,2,483,-30,106,106,323,346,300,309,352,46
330,-54,-479,-433,-212,114,2,563,-30,153,153,323,359,287,290,335,40
331,-57,-528,-482,-418,-206,2,696,-30,185,185,323,373,273,312,355,37
332,-60,-567,-521,-541,-123,2,788,-30,200,200,323,377,269,308,360,34
333,-5,-288,-242,-352,189,2,886,-30,117,117,323,377,269,298,349,89
335,-64,-565,-519,-310,167,2,1029,-30,157,157,323,377,269,301,368,30
336,-68,-627,-581,-202,109,2,1096,-30,194,194,323,377,269,336,345,26
337,-71,-672,-626,-362,-160,2,1134,-30,200,200,323,377,269,333,356,23
338,-72,-698,-652,-456,-94,2,1171,-30,200,200,323,377,269,294,365,22
339,-19,-424,-378,-296,160,2,1220,-30,162,162,323,377,269,302,342,75
340,-76,-605,-559,-385,-89,2,1264,-30,160,160,323,377,269,316,355,18
342,-79,-751,-705,-283,153,2,1356,-30,200,200,323,377,269,325,339,15
343,-80,-777,-731,-184,99,2,1438,-29,200,200,323,377,269,348,355,14
344,-81,-795,-749,-291,-107,2,1508,-30,200,200,323,377,269,360,360,13
345,-34,-549,-503,-189,102,2,1548,-30,197,197,323,377,269,333,337,60
346,-81,-690,-644,-277,-88,2,1577,-30,168,168,323,377,269,284,350,13
348,-84,-808,-762,-215,116,2,1637,-30,200,200,323,377,269,360,330,10
349,-84,-825,-779,-140,75,2,1666,-22,200,200,323,377,269,345,343,10
350,-79,-806,-760,322,462,2,1700,30,200,200,323,377,269,334,346,15
351,-81,-808,-762,251,-71,2,1730,30,200,200,323,377,269,343,329,13
352,-81,-809,-763,198,-53,2,1748,30,200,200,323,377,269,321,337,13
354,-79,-794,-748,179,-97,2,1793,28,200,200,323,377,269,324,322,15
355,-78,-786,-740,260,81,2,1789,30,200,200,323,377,269,358,334,16
356,-75,-767,-721,313,52,2,1823,30,200,200,323,377,269,351,336,19
357,-73,-747,-701,354,41,2,1847,30,200,200,323,377,269,310,317,21
359,-70,-710,-664,247,-133,2,1860,30,196,196,323,377,269,325,333,24
360,-66,-683,-637,161,-87,2,1849,25,186,186,323,377,269,312,316,28
361,-57,-622,-576,269,108,2,1851,30,175,175,323,377,269,309,324,37
362,-45,-529,-483,378,109,2,1849,30,148,148,323,377,269,356,331,49
364,-36,-396,-350,276,-148,2,1855,30,64,64,323,377,269,329,321,58
365,-28,-333,-287,365,89,2,1843,30,22,22,323,377,269,320,330,66
366,-12,-218,-172,402,37,2,1837,30,-42,-42,323,377,269,318,309,82
368,-3,-70,-24,263,-142,2,1759,30,-170,-146,323,356,290,294,323,91
369,7,6,0,171,-92,2,1569,13,-200,-181,323,342,304,347,307,101
370,27,148,102,255,84,2,1278,30,-200,-200,323,328,318,277,290,121
371,35,257,211,291,37,2,976,30,-200,-200,323,314,332,266,290,129
